Account CSN,Account Name,Tier Global Helix,Partner Flag,Partner Incentive Type
2283402,Havi Logistics North America,Tier 5,0,
20018336,Gratis A.Åž.,Tier 3d,0,
3252713,Merrill Lynch & Co Pensions & Products,Tier 1,0,
2286869,Knosos,GOSI,0,
2272763,KmÂ² Solutions LLC,Tier 5,0,
20018337,Route4Gas B.V.,Tier 5,0,
513748,Merrill Lynch & Company Incorporated,Tier 1,0,
2274675,Sinclair Pharmaceuticals,Tier 5,0,
2288923,Thumbplay,Tier 5,0,
20018338,Itineris,Tier 5,0,
571404,Mesa State College,Tier 5,0,
2290405,TVET Australia Limited,Tier 5,0,
2288805,Eksigent,Tier 5,0,
20018339,Inimco,Tier 5,0,
589940,"Messer Griesheim de Mexico, S.A. de C.V.",Tier 5,0,
2290103,"Krankenhaus GmbH, ALB",Tier 5,0,
2275199,"Highmount Exploration & Production, LLC",Tier 5,0,
20018340,Nordic Investment Bank,Tier 5,0,
2136086,MetLife India Insurance Company Private Limited,Tier 2b,0,
2287141,Emac,Tier 3d,0,
2280718,Graystone Tower Bank,Tier 5,0,
20018341,STILL Intern Transport BV,Tier 2a,0,
604602,Metal Road Pty Limited,Tier 5,0,
2290917,AL Nahdi Medical Company,Tier 5,0,
2283856,Ikonics,Tier 5,0,
20018342,Scarborough Health Network,Tier 5,0,
2111974,Metalcentro S.A.,Tier 5,0,
2286916,Project Presentation,Tier 3d,0,
2287656,McKean County Emergency Management,Tier 5,0,
20018343,Public Safety Communications Office CalOES,Tier 3c,0,
626243,Metalsa S. DE R.l.,Tier 5,0,
2292482,Cifea-DMK,Tier 5,0,
2275612,Heritage Credit Union,Tier 5,0,
20018344,Ultimate Tech & Innovation Co Ltd,Tier 5,1,Reseller
563117,Metalurgica Gerdau S.A.,Tier 2b,0,
2279373,Saxon Financials,Tier 5,0,
2286012,Canongate Golf,Tier 5,0,
20018347,QUIPU GmbH,Tier 5,0,
552281,Metasolv Software Incorporated,Tier 5,0,
2287142,MVM JV,Tier 5,0,
2291435,Matrix Settlement & Clearance Services,Tier 5,0,
20018349,brainbits GmbH,Tier 5,0,
2134854,Metasphere Technologies Ltd,Tier 5,0,
2276841,CCI de la Moselle,Tier 5,0,
2287428,Disability Determination Services,Tier 3c,0,
20018351,Midland Power Cooperative Inc,Tier 5,0,
2097384,Metem Corporation,Tier 5,0,
2286753,SPX Specialty Engineered Products,Tier 5,0,
2278844,Berkshire Farm Center,Tier 5,0,
20018352,MDM doo,Tier 3d,0,
573395,Methode Electronics Incorporated,Tier 4,0,
2285400,Mortgages for Business,Tier 5,0,
2276415,Selectquote,Tier 5,0,
20018354,HealthAxis Group LLC,Tier 5,0,
545938,Methodist Health Systems,Tier 4,0,
2291296,DGTF,Tier 3d,0,
2277804,Sedgwick CMS,Tier 5,0,
20018355,TelefÃ³nica CentroamÃ©rica S.A.,Tier 1,0,
2125795,Methodist Hospitals of Dallas dba Methodist Health System,Tier 5,0,
2285816,Foreman Roberts,Tier 5,0,
2283824,Willcox Unified School District,Tier 5,0,
2112936,Systems Engineering of Egypt,Tier 5,1,Distributor
588126,Metodo Engenharia S.A.,Tier 5,0,
2278125,Euro Packaging PLC,Tier 5,0,
2278839,Active Ride Shop,Tier 5,0,
20018358,Sampson Financial Services,Tier 5,0,
561318,Metra,Tier 5,0,
2292533,St John of Gods,Tier 5,0,
2278267,Stein Hospice Service Incorporated,Tier 5,0,
20018361,Clayton County Health District,Tier 3c,0,
620110,Metratech Corporation,Tier 5,0,
2290069,Max Planck Institut,Tier 5,0,
2274935,City of Newburgh,Tier 3c,0,
20018364,Orange-Ulster Board of Cooperative Educational Services,Tier 5,0,
2132900,Metrix Instrument Company LP,Tier 2b,0,
2295919,Servier Vietnam-HCMC,Tier 4,0,
2275653,Orange Savings Bank SSB,Tier 5,0,
20018365,Live Reply GmbH,Tier 5,0,
2060508,Metro Marketing Direto Ltda,Tier 5,0,
2279431,Kogent Incorporated,Tier 3d,0,VAR Sell To
2278095,La Agencia de Orci,Tier 5,0,
20018367,Thoughtworks Technologies India Pvt Ltd,Tier 5,0,
572071,Metro Richelieu Incorporated,Tier 2b,0,
2283985,The Engine Group,Tier 5,0,
2268050,Craig Hospital,Tier 5,0,
20018368,Gas Malaysia Berhad,Tier 5,0,
611084,Metro Systems Corporation Public Company Limited,Tier 5,0,
2290188,Jeddah Cable Company,Tier 5,0,
2280700,Fhlbanks-Office of Finance,Tier 5,0,
20018369,Stock Holding Corporation of India Ltd,Tier 5,0,
3261065,Metro de Caracas,Tier 5,0,
2290612,North Lincolnshire Homes Ltd,Tier 5,0,
2190477,SC Data Center Incorporated,Tier 5,0,
20018370,Corporate Mobile Recycling Ltd,Tier 5,0,
563155,Metro de Caracas S.A.,Tier 5,0,
2292232,Jackson Associates,Tier 5,0,
2278014,Bloomfield Board of Education,Tier 5,0,
20018371,Shinhan Bank Japan,Tier 3d,0,
3255860,MetroCallCentre,Tier 5,0,
2290924,Sunnybrand Chickens,Tier 5,0,
2270492,Maverick Capital Ltd,Tier 5,0,
20018372,Fleiz,Tier 5,0,
610880,Metrogas,Tier 2b,0,
2276636,"PSA Citroen, SV",Tier 2b,0,
2289288,Rio Linda Union School District,Tier 5,0,
20018374,National Information Technology Authority - Uganda,Tier 3d,0,
618466,Metromedia Fiber Network Incorporated,Tier 2c,0,
2290950,Jazeera Airways,Tier 5,0,
2280012,Biotage,Tier 5,0,
20018375,Adora ICT srl,Tier 5,0,
591071,Metronet S.A.P.I. de C.V.,Tier 5,0,
2286868,Comune di Taormina,Tier 5,0,
2268019,Leon Medical Center,Tier 5,0,
20018377,Telefonica Digital Espana SLU,Tier 2c,0,
571606,Metropolitan Museum of Art,Tier 5,0,
2276638,"PSA Citroen, North",Tier 2b,0,
2286309,NYS Department of Civil Service,Tier 3c,0,
20018378,Medically Home Group Inc,Tier 5,0,
2108053,"MRIS,  Metropolitan Regional Information Systems Incorporated",Tier 5,0,
2287073,Direccao Informatica,Tier 3d,0,
2289597,Northrop Grumman,GOSI,0,
20018379,Salto Grande,Tier 5,0,
571631,Metropolitan Water Reclamation,Tier 3c,0,
2290760,Mecanizados Rodriguez Fernandez,Tier 5,0,
2279411,Remote Control Productions,Tier 5,0,
20018380,JCM Tech LLC,Tier 5,0,
626497,Metrored Telecomunicacoes Ltda,Tier 2a,0,
2271354,Heritage Building Society,Tier 5,0,
2282629,San Diego Center for Children,Tier 5,0,
2296095,114th Signal Battalion,Tier 3c,0,
2124515,"Mettler Toledo China Co.,Ltd",Tier 5,0,
2286921,Ministerio de Turismo,Tier 5,0,
575368,Brookhaven National Laboratory,Tier 3c,0,
20018382,Let's Rent A Car S/a,Tier 5,0,
612419,"Mexicana de Obras y Proyectos, S.A. De C.V.",Tier 5,0,
2291304,Microlopes,Tier 3d,0,
2281503,Citi Apartments,Tier 5,0,
20018386,The Stars Group,Tier 2b,0,
603015,Meyer Corporation,Tier 5,0,
2290389,Australian Agricultural Company Limited,Tier 5,0,
2272290,Suffolk County Dept of Social Services,Tier 3c,0,
587529,Careamerica,Tier 5,0,
592486,Michael C Harris,Tier 5,0,
2279269,Medcan Clinic,Tier 5,0,
2276200,Village of Romeoville,Tier 5,0,
20018392,Brastorage Comercio e Servicos Em Informatica Ltda,Tier 5,0,
3251228,Michigan Department of Information Technology,Tier 3c,0,
2291349,Recovco Affimet,Tier 5,0,
2291686,Data Accessories,Tier 5,0,
20018393,Next Tecnologia e ServiÃ§os Digitais,Tier 1,0,
561393,Michigan Millers,Tier 5,0,
2291006,Legal Services Agency,Tier 5,0,
2268691,Pioneer Drilling Company,Tier 5,0,
20018396,Brastorage Comercio e Servicos Em Informatica Ltda,Tier 5,0,
2127384,Micro Midia Informatica Ltda,Tier 5,0,
2292535,Leopardstown Park Hospital Trust,Tier 5,0,
2280270,Cuyahoga County Juvenile Court,Tier 5,0,
20018394,Digital.ai Software Inc,Tier 5,1,Reseller
520068,Microage Incorporated,Tier 5,0,
2290125,Spreadex Ltd,Tier 5,0,
2283681,Senture,Tier 5,0,
20018395,Trinity Baptist Church,Tier 5,0,
2063984,Microflo Software LLC,Tier 5,0,
2286879,"Business Integration, SLU",Tier 5,0,
2273725,Woods Equipment,Tier 5,0,
20018397,BradesCard Mexico S de RL,Tier 1,0,
2157583,Microformas S.A. De C.V.,Tier 5,0,
2292167,Core Financial Systems,Tier 5,0,
2281799,Target Health,Tier 3b,0,
20018398,Sociedad Cooperativa Trabajadores de Pascual SCL,Tier 5,0,
740286,Microland  Limited,Tier 5,0,
2290999,Arab Gulf-Tech for IT Services FZ LLC -- Yemen,Tier 5,0,
2280115,Carlson Capital,Tier 5,0,
20018399,AlphaCredit Capital SA de CV,Tier 5,0,
589627,Microlite S.A.,Tier 5,0,
2292311,Zambon SpA,Tier 5,0,
2289854,MSM Industries,Tier 5,0,
20018400,Herdrich Petroleum Corporation,Tier 5,0,
2155014,Microlog Informatica E Tecnologia Ltda,Tier 5,0,
2280385,Mitsubishi Real Estate Service Co Ltd,Tier 3d,0,
2269146,Illinois Housing Development Auth,Tier 3c,0,
20018401,Tribunal de Justica do Estado de Mato Grosso do Sul,Tier 4,0,
552338,Micromuse Incorporated,Tier 2b,0,
2295926,Fujifilm,Tier 5,0,
2289212,"Klingner & Associates, PC",Tier 5,0,
20018402,It's Just Results LLC,Tier 5,0,
552339,Micromuse Incorporated,Tier 2b,0,
2290602,PT Mobile-8 Telecom,Tier 5,0,
2289054,Hedrick Eatman,Tier 5,0,
20018405,Cattalini Maritime Terminals,Tier 5,0,
552340,Micromuse Incorporated,Tier 2b,0,
2277584,Faconnable,Tier 5,0,
2398574,Aetna Life Insurance Company,Tier 2b,0,
20018406,Castleton Resources LLC,Tier 3b,0,
790301,Micromuse Japan K.K.,Tier 3d,0,
2287014,Quanta Consultancy Services,Tier 5,0,
2277386,VT Dept of Public Safety,Tier 5,0,
20018407,PUBG Amsterdam BV,Tier 5,0,
597471,"MicronPC, LLC (OLD DNU)",Tier 2b,0,
2281057,PFD Food Services Pty Ltd,Tier 2b,0,
2269112,Medical Center of Southeastern Oklahoma,Tier 5,0,
20018408,Esri Australia Pty Ltd,Tier 4,0,
552718,Micros Systems Incorporated,Tier 1,0,
2291398,"Holzhauer GmbH, & Co KG",Tier 5,0,
2283221,Comprehensive Behavioral Care,Tier 5,0,
20018416,AL Baraka Bank Egypt B.S.C,Tier 4,0,
606660,Microsistemas Gerenciales S.A. de C.V.,Tier 5,0,
2290196,Ritterwerk GmbH,Tier 5,0,
2286130,TSO Mgmt,Tier 5,0,
20018410,Nexteam Group,Tier 5,0,
609423,Microsoft Company Limited,Tier 3d,0,
2289573,Career Builder,Tier 5,0,
2268395,Bison Gear & Engineering Corporation,Tier 5,0,
20018411,Software FX Incorporated,Tier 5,0,
589625,Microsoft Informatica LTDA,Tier 2b,0,
2295927,SECURTEC Professional Service Corp,Tier 5,0,
2269945,Skagit Radiology Incorporated,Tier 5,0,
20018413,Tieto Ukraine Support Services LLC,Tier 4,0,
2143930,Microsoft Mexico S.a. DE C.v.,Tier 2b,0,
2282993,Converse County Bank,Tier 5,0,
2277563,Central School District,Tier 5,0,
20018417,Home Construction Regulatory Authority,Tier 1,0,
2060511,Microwan Informatica Ltda,Tier 5,0,
2278429,Managed Business Solutions,Tier 5,0,
2281775,Hayden Homes,Tier 5,0,
20018418,mmbit Business & Internet Technologie GmbH,Tier 5,0,
2104046,Microware Projetos E Servicos Ltda,Tier 5,0,
2288178,Uvimco,Tier 5,0,
2278026,Lagrange County,Tier 3c,0,
20018419,LEXER 2001 SLU,Tier 5,0,
628273,Mid-Range Computer Group Inc dba Mid-Range Technical Services,Tier 5,0,
2279214,SNCF Traversiere,Tier 2b,0,
2279368,Progressive Management Systems,Tier 1,0,
20018420,Adobe Incorporated,Tier 2b,0,
2130038,Mid-States Corporate Federal Credit Union,Tier 5,0,
2272241,"Caritas Tragergesellschaft, St. Mauritius",Tier 5,0,
2285153,Healthcare Waste Solutions Incorporated,Tier 5,0,
20018421,Lancaster Foods LLC,Tier 5,0,
3257238,Middlesex Community College,Tier 5,0,
2290870,Caixa Manlleu,Tier 5,0,
2287947,Keys Federal Credit Union,Tier 5,0,
20018422,LGC Global Inc,Tier 5,0,
570834,Midfirst Savings & Loan,Tier 5,0,
2093586,County of Volusia,Tier 3c,0,
2286131,Geerlings & Wade,Tier 5,0,
20018423,Multi-Craft Contractors Inc,Tier 5,0,
587629,"Miditel, S.A. de C.V.",Tier 5,0,
2276899,DSV Air & Sea Incorporated,Tier 3b,0,
2279779,Oakland Housing Authority,Tier 3c,0,
20018424,BNK System,Tier 5,0,
570839,Midland Mortgage,Tier 5,0,
2284667,Alpharma C/O King Pharmaceuticals Incorporated,Tier 5,0,
2288133,Gunn Mowery,Tier 5,0,
20018426,Hikma Pharmaceuticals LLC,Tier 5,0,
610941,Midrange Experts Corporation,Tier 5,0,
2283062,Ethical Culture Fieldston School,Tier 5,0,
2284364,PWP,Tier 5,0,
20018427,Enreach Holding BV,Tier 5,0,
610804,Midrange Performance Group Incorporated,Tier 5,0,
2290693,AIA IT (Guangzhou) Co Ltd,Tier 5,0,
2282686,Faac International,Tier 5,0,
20018428,Kata Software,Tier 5,0,
3258912,Bank Midwest National Association,Tier 5,0,
2291350,Brolaz Angola-Telecomunicacoes,Tier 3d,0,
2273950,Anazaohealth Corporation,Tier 5,0,
20018429,UK Data Archive,Tier 5,0,
520098,Midwest Resources Incorporated,Tier 5,0,
2281805,Department of Education - South Africa,Tier 3d,0,
2279549,Superior Court of San Bernardino County,Tier 3c,0,
20018430,Egyptian Ministry of Justice,Tier 5,0,
571824,Milbank Tweed Hadley & McCloy,Tier 5,0,
2295940,Fifosys,Tier 5,0,
2283711,Front Range Community College Fort Collin,Tier 5,0,
20018431,IronSource Ltd,Tier 5,0,
3263279,Milenium Grupo Hotelero Mexicano SA de CV,Tier 5,0,
2282779,Mairie de Mantes La Jolie,Tier 5,0,
2278129,Sebasticook Family Doctors,Tier 5,0,
20018432,ITW Drawform,Tier 2b,0,
2165247,Military Health Systems-EIDS,Tier 3c,0,
2292393,The Australian Wine Research Institute,Tier 5,0,
2284883,McLeod & Company,Tier 5,0,
20018433,Louisiana State Employees' Retirement System,Tier 5,0,
2005694,Military Information Communication Command,Tier 5,0,
2286304,City of Waneroo,Tier 5,0,
2268538,NYC Board of Education,Tier 3c,0,
20018434,Celularity Inc,Tier 5,0,
3262468,Military Information Communication Command,Tier 5,0,
2290694,Tata-AIG General Insurance,Tier 5,0,
2287985,Graham Packaging Company,Tier 5,0,
20018435,Estreem SAS,Tier 5,0,
520109,Millard Fillmore Hospital,Tier 5,0,
2286277,"Pentair Water Pvt Ltd, India",Tier 3b,0,
2282865,Bosselman Companies,Tier 5,0,
20018437,"Brown Enterprise Solutions, LLC",Tier 5,0,
2152000,Millenium Challenge Corporation,Tier 3c,0,
2290414,S&K Car Park Mgmt Pty Ltd,Tier 5,0,
577133,North Oaks Health System,Tier 5,0,
20018438,Fort Vale Engineering Ltd,Tier 5,0,
606055,Millennium Enterprise Tech. Company Limited,Tier 5,0,
2286887,Castellon SA,Tier 5,0,
2277754,Equallogic Incorporated,Tier 5,0,
20018446,ABB Installation Products Inc,Tier 3a,0,
581960,Millennium Inorganic Chemicals,Tier 5,0,
2286595,Grupo Detea SA,Tier 5,0,
2274999,Johnston Paper,Tier 5,0,
20018443,AIG General Insurance Co Ltd,Tier 3d,0,
550305,Millennium Pharmaceuticals Incorporated,Tier 3b,0,
2292370,Metzeler SpA,Tier 5,0,
2277191,Conor Medsystems,Tier 5,0,
20018444,Ascension Borgess Hospital,Tier 2b,0,
2091985,Million Dollar Elm Casino,Tier 5,0,
2286984,Universidade DOS Acores,Tier 3d,0,
2283168,Global Business Solutions,Tier 5,0,
20018447,Genworth North America Corporation,Tier 2b,0,
2300046,MinistÃ¨re de la Culture et des Communications,Tier 2a,0,
2290639,Voyager School,Tier 5,0,
2285030,Baisd,Tier 5,0,
20018450,Ascension St John Hospital,Tier 2b,0,
2064016,MindLeaders,Tier 5,0,
2290766,Caixa Laietana,Tier 5,0,
2288242,CNL Bank Orlando,Tier 5,0,
20018451,Corporate Travel Management North America Inc,Tier 5,0,
2154265,Mindriver Information Technology Pvt Ltd,Tier 5,0,
2290879,National Social Security Fund,Tier 3d,0,
2288652,Crowley Fleck PLLP,Tier 5,0,
3262236,Ar Riyadh Development Authority,Tier 5,0,
2166537,Mindteck (India) Limited,Tier 5,0,
2290970,International Leasing & Investment,Tier 5,0,
2280171,Sircon,Tier 5,0,
20018458,Teradata GmbH,Tier 4,0,
2136710,Mindware Systems Ltda.,Tier 5,0,
2291352,Sostmeier Sarl,Tier 5,0,
2274178,In-Shore Technologies,Tier 5,0,
20018459,Post Bank JSC,Tier 2b,0,
606932,Mine Subsidence Board,Tier 3b,0,
2287294,Eastern Province Cement Company,Tier 5,0,
2282760,Montage Hotels & Resorts LLC,Tier 5,0,
20018460,Spencer Savings Bank,Tier 5,0,
610619,Minera Collahuasi,Tier 5,0,
2292468,Export Import Bank of India,Tier 5,0,
2284544,Navellier's Chief Solution Architect,Tier 5,0,
20018461,Grupo Hame,Tier 5,0,
588218,Mineracao Taboca S.A.,Tier 5,0,
2292538,Jerusalem Municipality,Tier 5,0,
2281898,Pathfinder Incorporated,Tier 5,0,
20018462,Vet + a,Tier 5,0,
588600,Mineracoes Brasileiras Reunidas S.A.,Tier 5,0,
2291344,Michel Thierry,Tier 5,0,
2284600,Questar Assessment Incorporated,Tier 5,0,
20018463,Bakkt Marketplace LLC,Tier 5,0,
570805,Minerals Management Service,Tier 3c,0,
2286417,"Emdep, Espana SL",Tier 5,0,
2286749,81 CS/Scbba Adpe Fu3010,Tier 3c,0,
20018464,Kativik Ilisarniliriniq la commission scolaire du Nunavik,Tier 5,0,
2064022,Minerals Technologies,Tier 5,0,
2291944,Zeitschriften VVG,Tier 5,0,
2275155,On Line Resources,Tier 5,0,
20018465,Cambrian Lab Inc,Tier 5,1,ISV Partner
596854,MiniCo Incorporated,Tier 5,0,
2271195,ITG,Tier 5,0,
2284476,Portland Press Herald,Tier 5,0,
20018466,Manufacturas Eliot SAS,Tier 5,0,
556321,Miniphone,Tier 1,0,
2290295,Kibbutz Revivim,Tier 5,0,
2271114,Town of Knightdale,Tier 5,0,
20018467,Eastern Technology Inc,Tier 5,0,
3250406,Ministere de la Justice et des Libertes,Tier 5,0,
2291017,QinetiQ Limited,Tier 5,0,
2281403,Defense Media Activity,Tier 3c,0,
20018468,Hinfo Co Ltd,Tier 5,0,
573627,Ministere de la Sante & des Service Sociaux,Tier 2b,0,
2286971,"LSN Media Ltd, Media Accounting Centre",Tier 5,0,
2285904,Dehay & Elliston LLP,Tier 5,0,
20018469,Miral Asset Management LLC,Tier 5,0,
609299,Ministere des Resources Naturelles,Tier 2a,0,
2290306,Kingston College,Tier 5,0,
2284857,Lamar State College-Orange,Tier 5,0,
20018470,Ovo (S) Electricity Limited,Tier 4,0,
588327,Ministerio Agricultura e Abastecimento,Tier 4,0,
2295914,Octopus Investments,Tier 5,0,
2268251,Earthbound Farm,Tier 5,0,
20018471,Viasat UK Limited,Tier 4,0,
604998,Ministerio De Economia - Secretaria De Hacienda,Tier 3b,0,
2279002,PTS Consulting Group PLC,Tier 5,0,
2280758,DOD Siap,Tier 3c,0,
20018472,Vyom Labs Private Limited Niederlassung Deutschland,Tier 5,0,
588339,Ministerio Fazenda,Tier 2b,0,
2286330,"Econet EZI-CEL, Lesotho",Tier 3d,0,
2278824,Metro Self Storage LLC,Tier 5,0,
20018473,Ministerio de Salud de Chile,Tier 2b,0,
588340,Ministerio Justica,Tier 4,0,
2287081,AngloGold Ashanti - Siguiri Mine,Tier 3d,0,
2270488,Southwest Bank,Tier 5,0,
20018474,Sims Crane & Equipment Company,Tier 5,0,
588341,Ministerio Minas e Energia,Tier 5,0,
2285947,Summit PLC,Tier 5,0,
2283219,"Informatics Corp, of America",Tier 5,0,
20018475,General Authority Of Ports Borders and Free Zones Security,Tier 5,0,
588342,Ministerio Previdencia e Assistencia Social,Tier 4,0,
2295917,"Fgta, FO",Tier 5,0,
2285951,CPO Mgmt Services,Tier 5,0,
20018476,Attijariwafa Bank,Tier 2b,0,
588343,Ministerio Publico do Trabalho - Procuradoria Geral,Tier 2b,0,
2291035,Communicare Incorporated,Tier 5,0,
2275156,Eyefinity,Tier 5,0,
20018478,ZNForce Inc,Tier 5,0,
588344,Ministerio Trabalho e Emprego,Tier 4,0,
2279206,Saldanha Bay Municipality,Tier 3d,0,
636901,EOS International,Tier 5,0,
20018479,IBM Middle East FZ-LLC,Tier 2b,0,
588345,Ministerio Transportes,Tier 4,0,
2290206,Ring Automotive,Tier 5,0,
2270221,Guilford Metro 911,Tier 5,0,
20018480,M2P Solutions Private Limited,Tier 5,0,
588328,Ministerio da Ciencia e Tecnologia - MCT,Tier 4,0,
2291330,DirecÃ§Ã£o Nacional DAS Alfandegas,Tier 3d,0,
2282621,Drexel University-Goodwin College,Tier 5,0,
20018346,Nexio,Tier 3d,0,
588338,Ministerio da Cultura do Brasil,Tier 4,0,
2291378,Anglia Components,Tier 5,0,
2289525,Surgical Notes,Tier 5,0,
20018481,PETRONAS Digital Sdn Bhd,Tier 5,0,
588601,Ministerio da Marinha,Tier 5,0,
2287310,Spanair,Tier 5,0,
2271494,Dept of the Army,Tier 3c,0,
20018482,TR Ministry of Treasury and Finance,Tier 3d,0,
588332,Ministerio da Saude,Tier 3b,0,
2290681,Nexus,Tier 5,0,
2280373,Hawaii Health Systems Corporation dba Maui Memorial Medical Center,Tier 5,0,
20018483,LUKOIL Technology Services GmbH,Tier 2b,0,
588334,Ministerio das Comunicacoes,Tier 4,0,
2290663,Burges Salmon,Tier 5,0,
2268008,Alphatec Spine Incorporated,Tier 5,0,
20018486,Societe Generale African Business Services,Tier 2b,0,
538433,Ministerio das FinanÃ§as - Instituto de InformÃ¡tica,Tier 3b,0,
2286270,Mysore Cements Ltd,Tier 5,0,
2280713,Alien Technology,Tier 5,0,
20018484,Kio Network,Tier 5,0,
588335,"Ministerio de Desenvolvimento, IndÃºstria e Comercio Exterior",Tier 4,0,
2284523,"IKEA (Cebas Pty Ltd, )",Tier 3b,0,
2277065,URS,Tier 2b,0,
20018485,Southern Management Corporation,Tier 5,0,
588336,Ministerio de Esportes e Turismo,Tier 4,0,
2287361,CUF,Tier 3d,0,
2282762,Valley Hope Assn,Tier 5,0,
20018487,Shenzhen Pingan Zhihui Enterprise Information Management Co Ltd,Tier 5,0,
588337,Ministerio de Relacoes Exteriores,Tier 4,0,
2290821,Norges Bank Sika,Tier 5,0,
2276405,Foster Wheeler USA,Tier 5,0,
20018488,CMB Yunchuang Shenzhen Information Technology Co Ltd,Tier 5,0,
607888,Ministerio de Transporte y Obras Publicas,Tier 5,0,
2276870,Aalborg Industries Pty Ltd,Tier 4,0,
2275182,Moquist Thorvilson Kaufmann Kennedy & Pieper LLC,Tier 5,0,
20018489,ABeam Consulting (Malaysia) Sdn Bhd,Tier 5,0,
607542,Ministerio de Vivienda,Tier 5,0,
2270136,Hitachi Systems Ltd,Tier 3d,0,
2282743,Solideal Tire Incorporated,Tier 5,0,
20018491,"MC Shared Services, S.A.",Tier 3d,0,
583403,Ministerio do Planejamento Orcamento e Gestao - MPOG,Tier 5,0,
2292102,Info & Logistics Services,Tier 5,0,
2287509,Alaska Science Center,Tier 3c,0,
20018492,Huisman Equipment Holding BV,Tier 3a,0,
798388,Ministerio do Trabalho - MTE,Tier 4,0,
2285009,TSUTAYA online Corporation,Tier 3d,0,
2284736,Conner & Winters LLP,Tier 5,0,
20018493,Saudi Data and Artificial Intelligence Authority,Tier 5,0,
546169,Ministry Of Health  Ministry Responsible For Seniors,Tier 2b,0,
2284615,Sagem Mobiles,Tier 5,0,
2284802,Mayville Products,Tier 5,0,
20018494,English Biscuit Manufacturers Private Limited,Tier 5,0,
538457,Ministry for Planning,Tier 5,0,
2287012,Onlinet,Tier 5,0,
2284717,Eracare,Tier 5,0,
20018496,Kave Home SL,Tier 5,0,
618080,Ministry of Agriculture and Forestry New Zealand,Tier 5,0,
2290292,Aragon Housing Assn Ltd,Tier 5,0,
2280933,Lopezgarcia Group,Tier 5,0,
20018497,Perquimans County Schools,Tier 5,0,
590428,Ministry of Culture and Tourism,Tier 5,0,
2283958,"Pecten, Cameroon",Tier 3d,0,
2291704,Mobile Mini,Tier 5,0,
20018498,ETERMAR - Engenharia e Construcao SA,Tier 3d,0,
585987,Ministry of Defence Systems & Computer Organisation,Tier 2b,0,
2281001,"Relationships, Australia",Tier 5,0,
2186378,Bsa Lifestructures,Tier 5,0,
20018499,Fulcrum Associates Inc,Tier 5,0,
590012,Ministry of Economic Development,Tier 4,0,
2287157,Carandini,Tier 5,0,
2281748,Byron Bank,Tier 5,0,
20018500,Oversight Systems Inc,Tier 5,0,
2066905,Ministry of Energy and Energy Industries,Tier 5,0,
2292008,BlueStar Digital,Tier 3d,0,
2280191,The Hewlett Foundation,Tier 5,0,
20018501,ZEUGYS NETWORKS SOCIEDAD ANONIMA,Tier 5,0,
590427,"Ministry of Environment, Republic of Korea",Tier 5,0,
2292194,Agrisense,Tier 5,0,
2279423,The Peoples Bank,Tier 5,0,
20018503,Ministry of Health PHAP Saudi Arabia,Tier 1,0,
591062,Ministry of Finance & Economy,Tier 5,0,
2295931,Advanced Bionics RH,Tier 2b,0,
2279413,Summa Barberton Citizens Hospital,Tier 5,0,
20018504,ASG GmbH & Co KG,Tier 5,0,
2129992,Ministry of Finance of Trinidad & Tobago,Tier 5,0,
2279415,Bosch Rexroth Fluidtech,Tier 2a,0,
2288243,Greenbrier Valley Medical Center,Tier 5,0,
20018505,Krohne SAS,Tier 5,0,
552092,Ministry of Fisheries,Tier 5,0,
2292539,Mucho Hotel,Tier 5,0,
2274515,North Ottawa Community Hospital,Tier 5,0,
20018506,Chantiers de l'Atlantique,Tier 5,0,
573642,Ministry of Home Affairs -- Singapore,Tier 3b,0,
2290942,Bahrain International Circuit,Tier 5,0,
2283874,Novasolar Technologies Incorporated,Tier 5,0,
20018507,B.I.G. Holding SE,Tier 5,0,
606252,Ministry of Industry and Technology,Tier 5,0,
2291160,NATO/Otan Lille,Tier 1,0,
2283274,Prestige Mgmt Incorporated,Tier 5,0,
20018508,Groupe ALTITUDE,Tier 5,0,
606243,Ministry of Information Communicatiions and Technology,Tier 5,0,
2276774,Sergadi,Tier 5,0,
2282018,American Radiation Services Incorporated,Tier 5,0,
20018517,"CSG Systems, Inc.",Tier 2a,1,
573643,Ministry of Land Infrastructure and Transport,Tier 3d,0,
2279686,Lakeside Steel Corporation,Tier 5,0,
2284264,Flack & Kurtz,Tier 5,0,
20018518,RAZA,Tier 5,0,
557693,Ministry of National Defence Computer Center,Tier 5,0,
2290617,Premier Paper Group Ltd,Tier 5,0,
2278157,First National Bank of Grant Park,Tier 5,0,
20018519,Northeast Tech,Tier 5,0,
2124710,Ministry of Public Administration and Information,Tier 5,0,
2290112,Wordsworth Holdings,Tier 5,0,
2278171,Planar Systems Inc,Tier 5,0,
20018520,Westcon Mexico SA de CV,Tier 3b,0,
597823,"Ministry of Public Management, Home Affairs, Posts and Telecommunications",Tier 3d,0,
2288701,Martin Ward Anderson,Tier 5,0,
630569,CTB Incorporated,Tier 5,0,
20018522,California Department of Child Support Services,Tier 3c,0,
2127324,Ministry of Science Technology & Tertiary Education,Tier 5,0,
2284445,Robinhood C/-Alesco Shared Services,Tier 5,0,
2268270,City of Rancho Cucamonga,Tier 5,0,
20018524,Magellan Consulting,Tier 5,0,
606170,Ministry of Telecommunications & E-Commerce,Tier 5,0,
2291906,Ovre Eiker Kommune,Tier 5,0,
